"","age","number","year"
"1",1,710270,1995
"2",2,3109003,1995
"3",3,3156980,1995
"4",4,2008724,1995
"5",5,988201,1995
"6",6,NA,1995
"7",7,NA,1995
"8",8,NA,1995
"9",9,NA,1995
"10",10,NA,1995
"11",1,536759,1996
"12",2,2964306,1996
"13",3,2107364,1996
"14",4,2725255,1996
"15",5,2943411,1996
"16",6,NA,1996
"17",7,NA,1996
"18",8,NA,1996
"19",9,NA,1996
"20",10,NA,1996
"21",1,303853,1997
"22",2,2177198,1997
"23",3,2900547,1997
"24",4,4780612,1997
"25",5,4103001,1997
"26",6,NA,1997
"27",7,NA,1997
"28",8,NA,1997
"29",9,NA,1997
"30",10,NA,1997
"31",1,1064749,1998
"32",2,1414675,1998
"33",3,1224178,1998
"34",4,2556908,1998
"35",5,4519133,1998
"36",6,NA,1998
"37",7,NA,1998
"38",8,NA,1998
"39",9,NA,1998
"40",10,NA,1998
"41",1,3758547,1999
"42",2,2482463,1999
"43",3,2241208,1999
"44",4,3829471,1999
"45",5,7078750,1999
"46",6,NA,1999
"47",7,NA,1999
"48",8,NA,1999
"49",9,NA,1999
"50",10,NA,1999
"51",1,7837730,2000
"52",2,4379852,2000
"53",3,5353888,2000
"54",4,3903015,2000
"55",5,3403837,2000
"56",6,NA,2000
"57",7,NA,2000
"58",8,NA,2000
"59",9,NA,2000
"60",10,NA,2000
"61",1,11868191,2001
"62",2,14700504,2001
"63",3,2891053,2001
"64",4,3488630,2001
"65",5,4482542,2001
"66",6,NA,2001
"67",7,NA,2001
"68",8,NA,2001
"69",9,NA,2001
"70",10,NA,2001
"71",1,7283634,2002
"72",2,26214574,2002
"73",3,13827093,2002
"74",4,2612231,2002
"75",5,8179153,2002
"76",6,NA,2002
"77",7,NA,2002
"78",8,NA,2002
"79",9,NA,2002
"80",10,NA,2002
"81",1,3745007,2003
"82",2,19633213,2003
"83",3,12265478,2003
"84",4,9852468,2003
"85",5,9504966,2003
"86",6,NA,2003
"87",7,NA,2003
"88",8,NA,2003
"89",9,NA,2003
"90",10,NA,2003
"91",1,628048,2004
"92",2,19765747,2004
"93",3,16999312,2004
"94",4,10526894,2004
"95",5,14115209,2004
"96",6,NA,2004
"97",7,NA,2004
"98",8,NA,2004
"99",9,NA,2004
"100",10,NA,2004
"101",1,833658,2005
"102",2,7331114,2005
"103",3,22385263,2005
"104",4,18812720,2005
"105",5,16090138,2005
"106",6,NA,2005
"107",7,NA,2005
"108",8,NA,2005
"109",9,NA,2005
"110",10,NA,2005
"111",1,376010,2006
"112",2,1886588,2006
"113",3,4509873,2006
"114",4,32079627,2006
"115",5,10520169,2006
"116",6,1915511,2006
"117",7,2784373,2006
"118",8,1498533,2006
"119",9,577294,2006
"120",10,3323996,2006
"121",1,228981,2007
"122",2,1457116,2007
"123",3,3380796,2007
"124",4,12185422,2007
"125",5,25550844,2007
"126",6,10645180,2007
"127",7,5547139,2007
"128",8,3264009,2007
"129",9,1772440,2007
"130",10,4353037,2007
"131",1,240936,2008
"132",2,1598361,2008
"133",3,2193796,2008
"134",4,10027259,2008
"135",5,20118415,2008
"136",6,15401653,2008
"137",7,9053280,2008
"138",8,4003017,2008
"139",9,1636859,2008
"140",10,6188527,2008
"141",1,122931,2009
"142",2,702125,2009
"143",3,1504125,2009
"144",4,2533768,2009
"145",5,4192241,2009
"146",6,6614635,2009
"147",7,23618853,2009
"148",8,13618300,2009
"149",9,4441799,2009
"150",10,7638615,2009
"151",1,123266,2010
"152",2,424411,2010
"153",3,917010,2010
"154",4,1351867,2010
"155",5,2811099,2010
"156",6,3997604,2010
"157",7,6437601,2010
"158",8,23540144,2010
"159",9,13344778,2010
"160",10,15361613,2010
"161",1,131698,2011
"162",2,292496,2011
"163",3,412526,2011
"164",4,490003,2011
"165",5,1020072,2011
"166",6,1477796,2011
"167",7,2936749,2011
"168",8,6514440,2011
"169",9,24945607,2011
"170",10,18865298,2011
"171",1,173444,2012
"172",2,440800,2012
"173",3,410135,2012
"174",4,452557,2012
"175",5,794919,2012
"176",6,1838311,2012
"177",7,1687703,2012
"178",8,2676236,2012
"179",9,5412354,2012
"180",10,39055712,2012
"181",1,480555,2013
"182",2,521454,2013
"183",3,373118,2013
"184",4,429617,2013
"185",5,1031137,2013
"186",6,1384290,2013
"187",7,1048005,2013
"188",8,1139002,2013
"189",9,3191723,2013
"190",10,44755548,2013
"191",1,711344,2014
"192",2,1116150,2014
"193",3,1139596,2014
"194",4,650714,2014
"195",5,372403,2014
"196",6,465029,2014
"197",7,629284,2014
"198",8,875678,2014
"199",9,1754827,2014
"200",10,53665675,2014
"201",1,356355,2015
"202",2,960547,2015
"203",3,1083365,2015
"204",4,1026311,2015
"205",5,745313,2015
"206",6,364097,2015
"207",7,296278,2015
"208",8,439096,2015
"209",9,960390,2015
"210",10,61584605,2015
"211",1,419915,2016
"212",2,1911266,2016
"213",3,2576558,2016
"214",4,3351072,2016
"215",5,1526715,2016
"216",6,1097951,2016
"217",7,787936,2016
"218",8,1045893,2016
"219",9,936159,2016
"220",10,57016504,2016
"221",1,189934,2017
"222",2,526702,2017
"223",3,647081,2017
"224",4,2271128,2017
"225",5,1242310,2017
"226",6,764178,2017
"227",7,1076409,2017
"228",8,793691,2017
"229",9,1164430,2017
"230",10,51516650,2017
"231",1,87955,2018
"232",2,131464,2018
"233",3,343926,2018
"234",4,699914,2018
"235",5,1134037,2018
"236",6,1515615,2018
"237",7,1690661,2018
"238",8,1741119,2018
"239",9,2661833,2018
"240",10,41257681,2018
"241",1,10788.28,2019
"310",2,173352.086428571,2019
"410",3,403537.318571429,2019
"510",4,277493.4975,2019
"610",5,846484.79125,2019
"710",6,522279.825,2019
"810",7,930797.511428571,2019
"910",8,4833941.09040966,2019
"1010",9,1996312.70008929,2019
"1110",10,51170704.5393225,2019
"2110",1,20380.5274431212,2020
"311",2,106693.286831591,2020
"411",3,405428.421062464,2020
"511",4,199678.342709477,2020
"611",5,611920.587914902,2020
"711",6,471378.631225694,2020
"811",7,902754.17888125,2020
"911",8,5815011.10571696,2020
"1011",9,2609981.35193125,2020
"1111",10,51370346.7526423,2020
