"","weight","year","age"
"1",50.7851342832689,1995,2
"2",125.411215236841,1995,3
"3",205.691247691355,1995,4
"4",294.389370891823,1995,5
"5",NA,1995,6
"6",NA,1995,7
"7",NA,1995,8
"8",NA,1995,9
"9",NA,1995,10
"10",40.1934200341086,1996,2
"11",73.255669481497,1996,3
"12",125.784145089656,1996,4
"13",246.832499665456,1996,5
"14",NA,1996,6
"15",NA,1996,7
"16",NA,1996,8
"17",NA,1996,9
"18",NA,1996,10
"19",40.2969204230852,1997,2
"20",79.22885939043,1997,3
"21",122.170624879684,1997,4
"22",237.796248990296,1997,5
"23",NA,1997,6
"24",NA,1997,7
"25",NA,1997,8
"26",NA,1997,9
"27",NA,1997,10
"28",31.7055308490701,1998,2
"29",70.5866612599174,1998,3
"30",126.53012498717,1998,4
"31",245.909642765184,1998,5
"32",NA,1998,6
"33",NA,1998,7
"34",NA,1998,8
"35",NA,1998,9
"36",NA,1998,10
"37",25.8515695312852,1999,2
"38",68.7474647642093,1999,3
"39",124.210062043954,1999,4
"40",238.212272026087,1999,5
"41",NA,1999,6
"42",NA,1999,7
"43",NA,1999,8
"44",NA,1999,9
"45",NA,1999,10
"46",32.5075622082789,2000,2
"47",103.295668407095,2000,3
"48",167.747615324167,2000,4
"49",315.522098306014,2000,5
"50",NA,2000,6
"51",NA,2000,7
"52",NA,2000,8
"53",NA,2000,9
"54",NA,2000,10
"55",22.4753163809867,2001,2
"56",93.4399667234661,2001,3
"57",150.227984186651,2001,4
"58",278.343629232201,2001,5
"59",NA,2001,6
"60",NA,2001,7
"61",NA,2001,8
"62",NA,2001,9
"63",NA,2001,10
"64",18.1007096489008,2002,2
"65",35.782626648545,2002,3
"66",99.2827244649971,2002,4
"67",207.688477355415,2002,5
"68",NA,2002,6
"69",NA,2002,7
"70",NA,2002,8
"71",NA,2002,9
"72",NA,2002,10
"73",15.5092767755178,2003,2
"74",27.2926598765058,2003,3
"75",49.3402452499631,2003,4
"76",206.534387792493,2003,5
"77",NA,2003,6
"78",NA,2003,7
"79",NA,2003,8
"80",NA,2003,9
"81",NA,2003,10
"82",14.6589678774697,2004,2
"83",25.3739320044794,2004,3
"84",37.4066275597028,2004,4
"85",143.546607874828,2004,5
"86",NA,2004,6
"87",NA,2004,7
"88",NA,2004,8
"89",NA,2004,9
"90",NA,2004,10
"91",16.4908605333152,2005,2
"92",22.0809286054128,2005,3
"93",33.2407478500552,2005,4
"94",133.553678995419,2005,5
"95",NA,2005,6
"96",NA,2005,7
"97",NA,2005,8
"98",NA,2005,9
"99",NA,2005,10
"100",13.3496665986818,2006,2
"101",22.7093762707026,2006,3
"102",32.3689551933411,2006,4
"103",54.9328077938454,2006,5
"104",87.6321999898321,2006,6
"105",116.757454596227,2006,7
"106",167.196859317436,2006,8
"107",190.715753785747,2006,9
"108",302.576259494943,2006,10
"109",12.8146435914635,2007,2
"110",20.0777607726205,2007,3
"111",27.5838649305716,2007,4
"112",42.6606048927046,2007,5
"113",66.7473100260721,2007,6
"114",94.7970579678346,2007,7
"115",147.317762602883,2007,8
"116",182.132051457078,2007,9
"117",301.100833934246,2007,10
"118",15.479415386582,2008,2
"119",19.8434268433202,2008,3
"120",33.0736334994351,2008,4
"121",33.7855224153746,2008,5
"122",49.2451040768887,2008,6
"123",84.172997284343,2008,7
"124",123.355953230269,2008,8
"125",156.152490766957,2008,9
"126",267.481689648572,2008,10
"127",14.5070693760269,2009,2
"128",19.041567061972,2009,3
"129",23.5186800975714,2009,4
"130",37.2194425666189,2009,5
"131",40.8642896695105,2009,6
"132",56.482363860035,2009,7
"133",88.5032185897169,2009,8
"134",125.267010566079,2009,9
"135",244.772195512364,2009,10
"136",13.8034850429841,2010,2
"137",18.4198566295179,2010,3
"138",25.7956754629595,2010,4
"139",31.2575286787929,2010,5
"140",37.2171892358658,2010,6
"141",47.6394439891665,2010,7
"142",64.3667263196787,2010,8
"143",91.7683401658412,2010,9
"144",206.001120721489,2010,10
"145",11.7826568751958,2011,2
"146",16.9182460385917,2011,3
"147",21.4155620297089,2011,4
"148",28.542146014809,2011,5
"149",33.339311378576,2011,6
"150",40.23909274402,2011,7
"151",55.4469017671431,2011,8
"152",71.7910059092816,2011,9
"153",179.212707262975,2011,10
"154",9.49574476197566,2012,2
"155",15.7214236725769,2012,3
"156",29.2903629878773,2012,4
"157",31.2212334500571,2012,5
"158",38.0949454271696,2012,6
"159",43.1087597588475,2012,7
"160",51.7070799132867,2012,8
"161",66.3222321895913,2012,9
"162",128.724085364133,2012,10
"163",9.7076672723321,2013,2
"164",15.3437976162632,2013,3
"165",23.04998705667,2013,4
"166",33.7425722271313,2013,5
"167",39.7872558388791,2013,6
"168",41.7593212893485,2013,7
"169",48.9740753046096,2013,8
"170",57.7391067922625,2013,9
"171",125.455908158504,2013,10
"172",10.8245136657151,2014,2
"173",15.3810559101272,2014,3
"174",22.3699019431072,2014,4
"175",28.8308132923053,2014,5
"176",37.6694638698919,2014,6
"177",39.2629068326159,2014,7
"178",48.5065040214592,2014,8
"179",50.1537739610069,2014,9
"180",141.075630748745,2014,10
"181",11.1344528860408,2015,2
"182",14.7495745819061,2015,3
"183",21.4825773362614,2015,4
"184",27.4920350051496,2015,5
"185",36.1793313296896,2015,6
"186",39.2629068326159,2015,7
"187",44.9464997557954,2015,8
