"","q","year","age"
"1",0.702130978071383,1995,2
"2",0.73699960790298,1995,3
"3",0.738008402115052,1995,4
"4",0.738093843188095,1995,5
"5",NA,1995,6
"6",NA,1995,7
"7",NA,1995,8
"8",NA,1995,9
"9",NA,1995,10
"10",0.665481961541733,1996,2
"11",0.728005470532507,1996,3
"12",0.737014315509121,1996,4
"13",0.738070541097343,1996,5
"14",NA,1996,6
"15",NA,1996,7
"16",NA,1996,8
"17",NA,1996,9
"18",NA,1996,10
"19",0.666004342708237,1997,2
"20",0.730599547765072,1997,3
"21",0.736861768311291,1997,4
"22",0.738062096056663,1997,5
"23",NA,1997,6
"24",NA,1997,7
"25",NA,1997,8
"26",NA,1997,9
"27",NA,1997,10
"28",0.604016866235099,1998,2
"29",0.726516380077915,1998,3
"30",0.737043067647457,1998,4
"31",0.738069765899704,1998,5
"32",NA,1998,6
"33",NA,1998,7
"34",NA,1998,8
"35",NA,1998,9
"36",NA,1998,10
"37",0.530247572354021,1999,2
"38",0.725340464016386,1999,3
"39",0.736950668238289,1999,4
"40",0.738062529870209,1999,5
"41",NA,1999,6
"42",NA,1999,7
"43",NA,1999,8
"44",NA,1999,9
"45",NA,1999,10
"46",0.611760651727079,2000,2
"47",0.735528012059054,2000,3
"48",0.737826750871754,2000,4
"49",0.738098332539986,2000,5
"50",NA,2000,6
"51",NA,2000,7
"52",NA,2000,8
"53",NA,2000,9
"54",NA,2000,10
"55",0.47112003683451,2001,2
"56",0.734198992515268,2001,3
"57",0.737627692491689,2001,4
"58",0.73808868842622,2001,5
"59",NA,2001,6
"60",NA,2001,7
"61",NA,2001,8
"62",NA,2001,9
"63",NA,2001,10
"64",0.374579560075488,2002,2
"65",0.638713197860653,2002,3
"66",0.735062472069996,2002,4
"67",0.738013328078916,2002,5
"68",NA,2002,6
"69",NA,2002,7
"70",NA,2002,8
"71",NA,2002,9
"72",NA,2002,10
"73",0.308439978660561,2003,2
"74",0.551539854528775,2003,3
"75",0.698682942974564,2003,4
"76",0.738010516392782,2003,5
"77",NA,2003,6
"78",NA,2003,7
"79",NA,2003,8
"80",NA,2003,9
"81",NA,2003,10
"82",0.285827383240333,2004,2
"83",0.52268705750848,2004,3
"84",0.649677642278795,2004,4
"85",0.737512289574968,2004,5
"86",NA,2004,6
"87",NA,2004,7
"88",NA,2004,8
"89",NA,2004,9
"90",NA,2004,10
"91",0.334078797008297,2005,2
"92",0.463329628562567,2005,3
"93",0.61842073747727,2005,4
"94",0.737275138253623,2005,5
"95",NA,2005,6
"96",NA,2005,7
"97",NA,2005,8
"98",NA,2005,9
"99",NA,2005,10
"100",0.250631576219743,2006,2
"101",0.475654964000316,2006,3
"102",0.610457338857709,2006,4
"103",0.710241936969413,2006,5
"104",0.733046217164448,2006,6
"105",0.736585038832966,2006,7
"106",0.737822150373059,2006,8
"107",0.737960584920627,2006,9
"108",0.738095833393698,2006,10
"109",0.236236790139476,2007,2
"110",0.420899317992251,2007,3
"111",0.555574643719386,2007,4
"112",0.676847661620631,2007,5
"113",0.723900184369999,2007,6
"114",0.734422470069123,2007,7
"115",0.737580894592128,2007,8
"116",0.73792158766211,2007,9
"117",0.738095500969028,2007,10
"118",0.307651284957972,2008,2
"119",0.415630407213672,2008,3
"120",0.616936737055782,2008,4
"121",0.623123357849421,2008,5
"122",0.698442778807679,2008,6
"123",0.732172443561628,2008,7
"124",0.736914355559292,2008,8
"125",0.737709032419237,2008,9
"126",0.73808392652384,2008,10
"127",0.281760075931612,2009,2
"128",0.397139751978865,2009,3
"129",0.490828222409912,2009,4
"130",0.648485180903079,2009,5
"131",0.668793431646319,2009,6
"132",0.712710832085752,2009,7
"133",0.733242037350314,2009,8
"134",0.736993859912275,2009,9
"135",0.738068784930485,2009,10
"136",0.26285376935236,2010,2
"137",0.38233212651022,2010,3
"138",0.529376050586083,2010,4
"139",0.599472507071305,2010,5
"140",0.648470717265724,2010,6
"141",0.694122893922833,2010,7
"142",0.721931530741999,2010,8
"143",0.733901757094178,2010,9
"144",0.738009185170594,2010,10
"145",0.208677171346147,2011,2
"146",0.345039350520057,2011,3
"147",0.449763169581341,2011,4
"148",0.568245362100808,2011,5
"149",0.619286773290715,2011,6
"150",0.665713004265365,2011,7
"151",0.711090808914402,2011,8
"152",0.7272179682747,2011,9
"153",0.737905740069715,2011,10
"154",0.150087031247133,2012,2
"155",0.314029733415077,2012,3
"156",0.577515629110729,2012,4
"157",0.599097260504847,2012,5
"158",0.65391261198585,2012,6
"159",0.678687180612843,2012,7
"160",0.704148309635527,2012,8
"161",0.723570129728076,2012,9
"162",0.737122724937344,2012,10
"163",0.15530115654798,2013,2
"164",0.304063814346896,2013,3
"165",0.482136640010317,2013,4
"166",0.622759980653157,2013,5
"167",0.663390234698191,2013,6
"168",0.672947997330249,2013,7
"169",0.697749284963258,2013,8
"170",0.714527340939449,2013,9
"171",0.73700138243673,2013,10
"172",0.183580442484885,2014,2
"173",0.305050290818105,2014,3
"174",0.469056093407798,2014,4
"175",0.57188502723262,2014,5
"176",0.651322263170525,2014,6
"177",0.660588542734305,2014,7
"178",0.696519637089479,2014,8
"179",0.700669184154671,2014,9
"180",0.737461798089009,2014,10
"181",0.191629296973486,2015,2
"182",0.288250178081399,2015,3
"183",0.451153568518516,2015,4
"184",0.554311750265017,2015,5
"185",0.641524353870202,2015,6
"186",0.660588542734305,2015,7
"187",0.685597816557627,2015,8
"188",0.707251815301396,2015,9
"189",0.737521776893053,2015,10
"190",0.250498391121596,2016,2
"191",0.31027604715241,2016,3
"192",0.450941320000384,2016,4
"193",0.545684079868597,2016,5
"194",0.629970185924643,2016,6
"195",0.660588542734305,2016,7
"196",0.689673113346258,2016,8
"197",0.709649326664517,2016,9
"198",0.73744653751522,2016,10
"199",0.199738189015318,2017,2
"200",0.326106210192924,2017,3
"201",0.421031910259027,2017,4
"202",0.507878155491543,2017,5
"203",0.579624468599164,2017,6
"204",0.651062050348358,2017,7
"205",0.680860616225632,2017,8
"206",0.720745354193602,2017,9
"207",0.73764599082563,2017,10
"208",0.0988614830934797,2018,2
"209",0.305485702127257,2018,3
"210",0.350236842860699,2018,4
"211",0.455375161832664,2018,5
"212",0.617610171036033,2018,6
"213",0.661616027485127,2018,7
"214",0.713578574592419,2018,8
"215",0.726186693708694,2018,9
"216",0.737799076915326,2018,10
"217",0.11766777388353,2019,2
"218",0.239123066754351,2019,3
"219",0.399213208451888,2019,4
"220",0.508333381465592,2019,5
"221",0.565759171833779,2019,6
"222",0.653352982581083,2019,7
"223",0.706617975786708,2019,8
"224",0.705060699097871,2019,9
"225",0.737883608122927,2019,10
"226",0.14370828289415,2020,2
"227",0.225967774173491,2020,3
"228",0.391638256783562,2020,4
"229",0.506727840841891,2020,5
"230",0.605089080974916,2020,6
"231",0.674334517549079,2020,7
"232",0.707062030087951,2020,8
"233",0.704637043536266,2020,9
"234",0.737872040729271,2020,10
