"","number_sel","biomass_sel","year","age"
"1",4427953.04166727,224.874189821081,1995,2
"2",4283557.23143829,537.206117931236,1995,3
"3",2721817.25064812,559.853986273664,1995,4
"4",1338855.49801039,394.144827774337,1995,5
"5",NA,NA,1995,6
"6",NA,NA,1995,7
"7",NA,NA,1995,8
"8",NA,NA,1995,9
"9",NA,NA,1995,10
"10",4454374.68076902,179.036552533448,1996,2
"11",2894709.01703327,212.053846996899,1996,3
"12",3697696.1541343,465.111549549091,1996,4
"13",3987980.60091088,984.363220340178,1996,5
"14",NA,NA,1996,6
"15",NA,NA,1996,7
"16",NA,NA,1996,8
"17",NA,NA,1996,9
"18",NA,NA,1996,10
"19",3269044.74998864,131.732436149797,1997,2
"20",3970091.42542295,314.545815311987,1997,3
"21",6487800.29795277,792.61861649549,1997,4
"22",5559154.19843617,1321.94601594678,1997,5
"23",NA,NA,1997,6
"24",NA,NA,1997,7
"25",NA,NA,1997,8
"26",NA,NA,1997,9
"27",NA,NA,1997,10
"28",2342111.75064997,74.2578963622023,1998,2
"29",1684997.1089003,118.938320149886,1998,3
"30",3469143.27294511,438.951131924145,1998,4
"31",6122907.62851015,1505.68202761115,1998,5
"32",NA,NA,1998,6
"33",NA,NA,1998,7
"34",NA,NA,1998,8
"35",NA,NA,1998,9
"36",NA,NA,1998,10
"37",4681705.545542,121.029436435582,1999,2
"38",3089870.35907233,212.4207536363,1999,3
"39",5196373.60415794,645.441887776021,1999,4
"40",9590989.53478213,2284.69140805888,1999,5
"41",NA,NA,1999,6
"42",NA,NA,1999,7
"43",NA,NA,1999,8
"44",NA,NA,1999,9
"45",NA,NA,1999,10
"46",7159420.90691043,232.735320506643,2000,2
"47",7278972.26512448,751.886305442737,2000,3
"48",5289880.03672749,887.364761511956,2000,4
"49",4611630.79489222,1455.07142501702,2000,5
"50",NA,NA,2000,6
"51",NA,NA,2000,7
"52",NA,NA,2000,8
"53",NA,NA,2000,9
"54",NA,NA,2000,10
"55",31203308.8186479,701.304237832744,2001,2
"56",3937696.76814134,367.938254982227,2001,3
"57",4729526.88125833,710.507289528018,2001,4
"58",6073175.31116463,1690.42965707296,2001,5
"59",NA,NA,2001,6
"60",NA,NA,2001,7
"61",NA,NA,2001,8
"62",NA,NA,2001,9
"63",NA,NA,2001,10
"64",69983994.841355,1266.75997069354,2002,2
"65",21648359.6179214,774.63516976152,2002,3
"66",3553753.72741278,352.826352135179,2002,4
"67",11082662.9937575,2301.7414022167,2002,5
"68",NA,NA,2002,6
"69",NA,NA,2002,7
"70",NA,NA,2002,8
"71",NA,NA,2002,9
"72",NA,NA,2002,10
"73",63653269.220351,987.216170004973,2003,2
"74",22238606.8736218,606.950733529085,2003,3
"75",14101486.373854,695.770796074968,2003,4
"76",12879174.197216,2659.99235809488,2003,5
"77",NA,NA,2003,6
"78",NA,NA,2003,7
"79",NA,NA,2003,8
"80",NA,NA,2003,9
"81",NA,NA,2003,10
"82",69152740.9862627,1013.70780875661,2004,2
"83",32522925.057742,825.234489001926,2004,3
"84",16203257.3001529,606.109211080854,2004,4
"85",19138947.5125013,2747.33099371394,2004,5
"86",NA,NA,2004,6
"87",NA,NA,2004,7
"88",NA,NA,2004,8
"89",NA,NA,2004,9
"90",NA,NA,2004,10
"91",21944266.0403795,361.879830777864,2005,2
"92",48313903.5797214,1066.81585559262,2005,3
"93",30420584.0133093,1011.20296263783,2005,4
"94",21823790.2855541,2914.64748226025,2005,5
"95",NA,NA,2005,6
"96",NA,NA,2005,7
"97",NA,NA,2005,8
"98",NA,NA,2005,9
"99",NA,NA,2005,10
"100",7527335.65520859,100.487421373404,2006,2
"101",9481395.84641653,215.31658584775,2006,3
"102",52550153.7257748,1700.99357135279,2006,4
"103",14812092.1229875,813.669809616802,2006,5
"104",2613083.53436368,228.990258873495,2006,6
"105",3780110.71798514,441.356105523863,2006,7
"106",2031021.97357766,339.580495186884,2006,8
"107",782282.972554817,149.193686784547,2006,9
"108",4503474.81941006,1362.64456558676,2006,10
"109",6168031.65645668,79.0411273383568,2007,2
"110",8032315.2247594,161.270903532996,2007,3
"111",21933006.0105384,604.997075316105,2007,4
"112",37749770.6630493,1610.42805104656,2007,5
"113",14705314.6688509,981.540197232734,2007,6
"114",7553062.74803644,716.008127160303,2007,7
"115",4425289.51594516,651.923750359037,2007,8
"116",2401935.42191313,437.469425860462,2007,9
"117",5897660.93179677,1775.79062482543,2007,10
"118",5195365.91637624,80.4212271048783,2008,2
"119",5278237.49640192,104.738319621521,2008,3
"120",16253301.834242,537.555748021415,2008,4
"121",32286408.0547943,1090.81316304718,2008,5
"122",22051417.048498,1085.92432759616,2008,6
"123",12364955.9330048,1040.79540216984,2008,7
"124",5432133.28631907,670.085979607762,2008,8
"125",2218840.93601524,346.477538774467,2008,9
"126",8384584.43221512,2242.72281093001,2008,10
"127",2491925.08086354,36.1505300279489,2009,2
"128",3787394.7206374,72.1179305631757,2009,3
"129",5162229.64433357,121.408827595281,2009,4
"130",6464667.38709726,240.611316526361,2009,5
"131",9890400.66335168,404.164197654722,2009,6
"132",33139461.2466872,1871.79510826092,2009,7
"133",18572721.2929743,1643.74561239799,2009,8
"134",6026914.5261654,754.973565630017,2009,9
"135",10349462.2126845,2533.26058817103,2009,10
"136",1614627.78732714,22.2874905123568,2010,2
"137",2398464.41461803,44.1793706482648,2010,3
"138",2553698.82808888,65.8743861995207,2010,4
"139",4689287.61009156,146.575541955545,2010,5
"140",6164663.86771617,229.431461740297,2010,6
"141",9274439.80938004,441.829155829857,2010,7
"142",32607169.7904724,2098.81677396263,2010,8
"143",18183330.2223414,1668.65403319164,2010,9
"144",20814934.7036231,4287.89987669097,2010,10
"145",1401667.45654615,16.5153666936117,2011,2
"146",1195591.16772688,20.2273055371706,2011,3
"147",1089468.93196283,23.3315894918907,2011,4
"148",1795125.95796433,51.2367472071918,2011,5
"149",2386287.03814778,79.5571666034689,2011,6
"150",4411434.02815271,177.512102992963,2011,7
"151",9161192.80172581,507.959757347149,2011,8
"152",34302792.4064949,2462.63197235953,2011,9
"153",25565999.7958786,4581.75203730407,2011,10
"154",2936962.61653799,27.888647382109,2012,2
"155",1306038.74843244,20.5327884969086,2012,3
"156",783627.277233791,22.9527273973797,2012,4
"157",1326861.35024243,41.4262479717768,2012,5
"158",2811248.73003639,107.094366952936,2012,6
"159",2486717.07409595,107.199288935426,2012,7
"160",3800670.91460497,196.521594705584,2012,8
"161",7480068.31353584,496.094827484329,2012,9
"162",52984002.0918088,6820.31720819939,2012,10
"163",3357695.53550555,32.5953910604828,2013,2
"164",1227104.25376142,18.828439323771,2013,3
"165",891068.971631791,20.539128262713,2013,4
"166",1655753.47169632,55.8693811090367,2013,5
"167",2086690.34844895,83.0236827502582,2013,6
"168",1557334.30243896,65.0332234904721,2013,7
"169",1632394.36362873,79.9450044911738,2013,8
"170",4466901.14867203,257.914882453654,2013,9
"171",60726545.5215644,7618.50391773659,2013,10
"172",6079896.0112099,65.811917459468,2014,2
"173",3735764.34542564,57.4600002640515,2014,3
"174",1387283.9712462,31.0334064040219,2014,4
"175",651185.08487987,18.7741956009055,2014,5
"176",713976.822681169,26.8951241259285,2014,6
"177",952611.132786638,37.4022821543145,2014,7
"178",1257219.39967,60.9833178659493,2014,8
"179",2504501.46757507,125.61020048977,2014,9
"180",72770786.4177701,10266.1845939691,2014,10
"181",5012526.86917128,55.8117442648013,2015,2
"182",3758419.18714814,55.4350841109085,2015,3
"183",2274859.5414421,48.8698460281622,2015,4
"184",1344573.69818277,36.9650671774444,2015,5
"185",567549.770797426,20.5335712037694,2015,6
"186",448506.113614456,17.609653752703,2015,7
"187",640457.115521009,28.7863055863625,2015,8
"188",1357918.0416677,72.3190612161324,2015,9
"189",83502083.5038073,12027.4436098023,2015,10
"190",7629853.39523494,101.818266384918,2016,2
"191",8304082.84379868,129.368151266429,2016,3
"192",7431281.74636368,159.566937889863,2016,4
"193",2797800.14906727,75.2074709291306,2016,5
"194",1742861.84414978,60.344210684395,2016,6
"195",1192778.78592714,46.8319623437779,2016,7
"196",1516505.39909463,70.0103349222195,2016,8
"197",1319185.35651985,72.0072060394613,2016,9
"198",77316118.660091,10853.0235640625,2016,10
"199",2636961.92799469,30.1774469590133,2017,2
"200",1984264.57324191,32.1116420186355,2017,3
"201",5394194.46521942,108.335349576003,2017,4
"202",2446078.82140087,59.8857378078752,2017,5
"203",1318401.89881367,38.8490242623843,2017,6
"204",1653312.45988621,62.2100296073577,2017,7
"205",1165717.30114138,50.8942357302718,2017,8
"206",1615591.40579242,101.928008785209,2017,9
"207",69839259.8085413,10577.5253367529,2017,10
"208",1329779.76747216,9.64675707481585,2018,2
"209",1125833.37814197,17.3350295629602,2018,3
"210",1998401.9793097,34.2183563253348,2018,4
"211",2490335.65079846,54.0095496241745,2018,5
"212",2453999.41755748,81.3481019776174,2018,6
