"","year2","biomass"
"1",1996,654356009.06407
"2",1997,637424264.779515
"3",1998,950211286.121563
"4",1999,844514462.744916
"5",2000,1295893434.1512
"6",2001,1288741314.88865
"7",2002,1225443324.39826
"8",2003,1166448179.97181
"9",2004,1313581612.38906
"10",2005,1233098685.62898
"11",2006,1354450642.10958
"12",2007,1146573501.31286
"13",2008,1739411597.22402
"14",2009,1824624112.71197
"15",2010,2082336148.21054
"16",2011,2854561377.71274
"17",2012,2679634062.76368
"18",2013,3016492065.37796
"19",2014,3305755040.06453
"20",2015,4783342676.87483
"21",2016,5581820999.9887
"22",2017,4998726882.37993
"23",2018,5048929890.85192
"24",2019,4475271249.68794
"25",2020,5569122255.62319
"26",2021,7258952506.28111
